"tradingsymbol_nse","instrument_key_nse","instrument_key_bse"
"HINDOILEXP","NSE_EQ|INE345A01011","BSE_EQ|INE345A01011"
"ALPHAGEO","NSE_EQ|INE137C01018","BSE_EQ|INE137C01018"
"GEOJITFSL","NSE_EQ|INE007B01023","BSE_EQ|INE007B01023"
"955SCL27A","NSE_EQ|INE148I07MS6","BSE_EQ|INE148I07MS6"
"NAHARPOLY","NSE_EQ|INE308A01027","BSE_EQ|INE308A01027"
"656AP31","NSE_EQ|IN1020200235","BSE_EQ|IN1020200235"
"89SCL24A","NSE_EQ|INE148I07NA2","BSE_EQ|INE148I07NA2"
"MANORAMA","NSE_EQ|INE00VM01036","BSE_EQ|INE00VM01036"
"SHEKHAWATI","NSE_EQ|INE268L01046","BSE_EQ|INE268L01046"
"87SCL27A","NSE_EQ|INE148I07MY4","BSE_EQ|INE148I07MY4"
"HEMIPROP","NSE_EQ|INE0AJG01018","BSE_EQ|INE0AJG01018"
"93SCL24A","NSE_EQ|INE148I07MZ1","BSE_EQ|INE148I07MZ1"
"NCLIND","NSE_EQ|INE732C01016","BSE_EQ|INE732C01016"
"CELEBRITY","NSE_EQ|INE185H01016","BSE_EQ|INE185H01016"
"773GJ29","NSE_EQ|IN1520200016","BSE_EQ|IN1520200016"
"87SCL27","NSE_EQ|INE148I07MD8","BSE_EQ|INE148I07MD8"
"915SCL27","NSE_EQ|INE148I07ME6","BSE_EQ|INE148I07ME6"
"INDUSINVIT","NSE_EQ|INE0NHL23019","BSE_EQ|INE0NHL23019"
"POWERMECH","NSE_EQ|INE211R01019","BSE_EQ|INE211R01019"
"894SCL25","NSE_EQ|INE148I07MF3","BSE_EQ|INE148I07MF3"
"93SCFL25","NSE_EQ|INE148I07MA4","BSE_EQ|INE148I07MA4"
"ZODIAC","NSE_EQ|INE761Y01019","BSE_EQ|INE761Y01019"
"INFIBEAM","NSE_EQ|INE483S01020","BSE_EQ|INE483S01020"
"847SCL25","NSE_EQ|INE148I07MB2","BSE_EQ|INE148I07MB2"
"905SC24B","NSE_EQ|INE148I07ML1","BSE_EQ|INE148I07ML1"
"RELAXO","NSE_EQ|INE131B01039","BSE_EQ|INE131B01039"
"797IGT31","NSE_EQ|INE219X07280","BSE_EQ|INE219X07280"
"772IGT31","NSE_EQ|INE219X07272","BSE_EQ|INE219X07272"
"NIFTYIETF","NSE_EQ|INF109K012R6","BSE_EQ|INF109K012R6"
"749IGT28","NSE_EQ|INE219X07231","BSE_EQ|INE219X07231"
"905SCL27","NSE_EQ|INE148I07MI7","BSE_EQ|INE148I07MI7"
"955SCL27","NSE_EQ|INE148I07MJ5","BSE_EQ|INE148I07MJ5"
"82IGT31","NSE_EQ|INE219X07264","BSE_EQ|INE219X07264"
"BALAJEE","NSE_EQ|INE0S2G01011","BSE_EQ|INE0S2G01011"
"865SCL24B","NSE_EQ|INE148I07MK3","BSE_EQ|INE148I07MK3"
"769IGT28","NSE_EQ|INE219X07249","BSE_EQ|INE219X07249"
"795IGT31","NSE_EQ|INE219X07256","BSE_EQ|INE219X07256"
"IIFLCAPS","NSE_EQ|INE489L01022","BSE_EQ|INE489L01022"
"97SFL26","NSE_EQ|INE721A07PE0","BSE_EQ|INE721A07PE0"
"971SCL28","NSE_EQ|INE148I07NV8","BSE_EQ|INE148I07NV8"
"HEXT","NSE_EQ|INE093A01041","BSE_EQ|INE093A01041"
"965SCL28","NSE_EQ|INE148I07NW6","BSE_EQ|INE148I07NW6"
"ADANIENT","NSE_EQ|INE423A01024","BSE_EQ|INE423A01024"
"925SCL28","NSE_EQ|INE148I07NX4","BSE_EQ|INE148I07NX4"
"990SCFL26","NSE_EQ|INE148I07NY2","BSE_EQ|INE148I07NY2"
"931SFL26","NSE_EQ|INE721A07PA8","BSE_EQ|INE721A07PA8"
"GANDHITUBE","NSE_EQ|INE524B01027","BSE_EQ|INE524B01027"
"BALPHARMA","NSE_EQ|INE083D01012","BSE_EQ|INE083D01012"
"761TS44","NSE_EQ|IN4520230017","BSE_EQ|IN4520230017"
"DIACABS","NSE_EQ|INE989C01038","BSE_EQ|INE989C01038"
"SFLZC26A","NSE_EQ|INE721A07PH3","BSE_EQ|INE721A07PH3"
"NARMADA","NSE_EQ|INE117Z01011","BSE_EQ|INE117Z01011"
"875SFL27","NSE_EQ|INE721A07PK7","BSE_EQ|INE721A07PK7"
"990SCL26D","NSE_EQ|INE148I07OB8","BSE_EQ|INE148I07OB8"
"CUBEINVIT","NSE_EQ|INE0NR623014","BSE_EQ|INE0NR623014"
"948SCL26D","NSE_EQ|INE148I07NZ9","BSE_EQ|INE148I07NZ9"
"JSWENERGY","NSE_EQ|INE121E01018","BSE_EQ|INE121E01018"
"ASMS","NSE_EQ|INE855F01042","BSE_EQ|INE855F01042"
"PRITIKAUTO","NSE_EQ|INE583R01029","BSE_EQ|INE583R01029"
"91SFL27","NSE_EQ|INE721A07PN1","BSE_EQ|INE721A07PN1"
"JSWSTEEL","NSE_EQ|INE019A01038","BSE_EQ|INE019A01038"
"894SCL27","NSE_EQ|INE148I07NG9","BSE_EQ|INE148I07NG9"
"955SCL25","NSE_EQ|INE148I07NH7","BSE_EQ|INE148I07NH7"
"KHAITANLTD","NSE_EQ|INE731C01018","BSE_EQ|INE731C01018"
"905SCL25","NSE_EQ|INE148I07NI5","BSE_EQ|INE148I07NI5"
"855TCAPS27","NSE_EQ|INE306N07LL7","BSE_EQ|INE306N07LL7"
"745IGT26","NSE_EQ|INE219X07199","BSE_EQ|INE219X07199"
"VHL","NSE_EQ|INE701A01023","BSE_EQ|INE701A01023"
"965SCL25C","NSE_EQ|INE148I07ND6","BSE_EQ|INE148I07ND6"
"DAMODARIND","NSE_EQ|INE497D01022","BSE_EQ|INE497D01022"
"939SCL27","NSE_EQ|INE148I07NN5","BSE_EQ|INE148I07NN5"
"TARSONS","NSE_EQ|INE144Z01023","BSE_EQ|INE144Z01023"
"AMNPLST","NSE_EQ|INE275D01022","BSE_EQ|INE275D01022"
"RAMCOIND","NSE_EQ|INE614A01028","BSE_EQ|INE614A01028"
"865TCAPS27","NSE_EQ|INE306N07LM5","BSE_EQ|INE306N07LM5"
"87SCL25","NSE_EQ|INE148I07NP0","BSE_EQ|INE148I07NP0"
"98SCL27","NSE_EQ|INE148I07NL9","BSE_EQ|INE148I07NL9"
"916SCL25","NSE_EQ|INE148I07NM7","BSE_EQ|INE148I07NM7"
"925SCL25F","NSE_EQ|INE148I07OY0","BSE_EQ|INE148I07OY0"
"ADFFOODS","NSE_EQ|INE982B01027","BSE_EQ|INE982B01027"
"DATAPATTNS","NSE_EQ|INE0IX101010","BSE_EQ|INE0IX101010"
"IGARASHI","NSE_EQ|INE188B01013","BSE_EQ|INE188B01013"
"GUJRAFFIA","NSE_EQ|INE610B01024","BSE_EQ|INE610B01024"
"AIRAN","NSE_EQ|INE645W01026","BSE_EQ|INE645W01026"
"971SCL28I","NSE_EQ|INE148I07OT0","BSE_EQ|INE148I07OT0"
"925SCL28I","NSE_EQ|INE148I07OU8","BSE_EQ|INE148I07OU8"
"97SFL28","NSE_EQ|INE721A07OF0","BSE_EQ|INE721A07OF0"
"1015SCL28B","NSE_EQ|INE148I07OW4","BSE_EQ|INE148I07OW4"
"930SFL28","NSE_EQ|INE721A07OC7","BSE_EQ|INE721A07OC7"
"LGBBROSLTD","NSE_EQ|INE337A01034","BSE_EQ|INE337A01034"
"689MH32","NSE_EQ|IN2220210149","BSE_EQ|IN2220210149"
"965SCL25E","NSE_EQ|INE148I07PD1","BSE_EQ|INE148I07PD1"
"VRLLOG","NSE_EQ|INE366I01010","BSE_EQ|INE366I01010"
"695MH32","NSE_EQ|IN2220210164","BSE_EQ|IN2220210164"
"BLUECHIP","NSE_EQ|INE657B01025","BSE_EQ|INE657B01025"
"SCL25A","NSE_EQ|INE148I07PE9","BSE_EQ|INE148I07PE9"
"695MH31","NSE_EQ|IN2220210198","BSE_EQ|IN2220210198"
"957ICCL25","NSE_EQ|INE721A07ON4","BSE_EQ|INE721A07ON4"
"NELCO","NSE_EQ|INE045B01015","BSE_EQ|INE045B01015"
"701MH32","NSE_EQ|IN2220210180","BSE_EQ|IN2220210180"
"KANANIIND","NSE_EQ|INE879E01037","BSE_EQ|INE879E01037"
"EKC","NSE_EQ|INE184H01027","BSE_EQ|INE184H01027"
"925SCL25","NSE_EQ|INE148I07PA7","BSE_EQ|INE148I07PA7"
"ROUTE","NSE_EQ|INE450U01017","BSE_EQ|INE450U01017"
"SGBOCT25IV","NSE_EQ|IN0020170067","BSE_EQ|IN0020170067"
"1015SCL28A","NSE_EQ|INE148I07OH5","BSE_EQ|INE148I07OH5"
"920SCL23A","NSE_EQ|INE148I07OI3","BSE_EQ|INE148I07OI3"
"SGBOCT25","NSE_EQ|IN0020170059","BSE_EQ|IN0020170059"
"TATACOMM","NSE_EQ|INE151A01013","BSE_EQ|INE151A01013"
"888SCL25A","NSE_EQ|INE148I07OJ1","BSE_EQ|INE148I07OJ1"
"97SFL29","NSE_EQ|INE721A07OQ7","BSE_EQ|INE721A07OQ7"
"SGBNOV25VI","NSE_EQ|IN0020170083","BSE_EQ|IN0020170083"
"SGBOCT25V","NSE_EQ|IN0020170075","BSE_EQ|IN0020170075"
"SCLZC25A","NSE_EQ|INE148I07OK9","BSE_EQ|INE148I07OK9"
"679GS2027","NSE_EQ|IN0020170026","BSE_EQ|IN0020170026"
"68MH31","NSE_EQ|IN2220210115","BSE_EQ|IN2220210115"
"SGBMAY25","NSE_EQ|IN0020170018","BSE_EQ|IN0020170018"
"686MH32","NSE_EQ|IN2220210107","BSE_EQ|IN2220210107"
"668GS2031","NSE_EQ|IN0020170042","BSE_EQ|IN0020170042"
"683MH31","NSE_EQ|IN2220210131","BSE_EQ|IN2220210131"
"683MH32B","NSE_EQ|IN2220210123","BSE_EQ|IN2220210123"
"SGBJUL25","NSE_EQ|IN0020170034","BSE_EQ|IN0020170034"
"948SCL26I","NSE_EQ|INE148I07OP8","BSE_EQ|INE148I07OP8"
"902SCL26I","NSE_EQ|INE148I07OQ6","BSE_EQ|INE148I07OQ6"
"990SCL26I","NSE_EQ|INE148I07OR4","BSE_EQ|INE148I07OR4"
"SCLZC26B","NSE_EQ|INE148I07OS2","BSE_EQ|INE148I07OS2"
"EXICOM","NSE_EQ|INE777F01014","BSE_EQ|INE777F01014"
"925SCL25C","NSE_EQ|INE148I07OL7","BSE_EQ|INE148I07OL7"
"950SCL23A","NSE_EQ|INE148I07OM5","BSE_EQ|INE148I07OM5"
"SGBNOV25","NSE_EQ|IN0020170091","BSE_EQ|IN0020170091"
"SPENCERS","NSE_EQ|INE020801028","BSE_EQ|INE020801028"
"940SCL26C","NSE_EQ|INE148I07ON3","BSE_EQ|INE148I07ON3"
"VERANDA","NSE_EQ|INE0IQ001011","BSE_EQ|INE0IQ001011"
"SCLZC25B","NSE_EQ|INE148I07OO1","BSE_EQ|INE148I07OO1"
"948SCL26","NSE_EQ|INE148I07PZ4","BSE_EQ|INE148I07PZ4"
"SAURASHCEM","NSE_EQ|INE626A01014","BSE_EQ|INE626A01014"
"888SCL25E","NSE_EQ|INE148I07PV3","BSE_EQ|INE148I07PV3"
"SCLZC26A","NSE_EQ|INE148I08272","BSE_EQ|INE148I08272"
"778TS34","NSE_EQ|IN4520220455","BSE_EQ|IN4520220455"
"COLPAL","NSE_EQ|INE259A01022","BSE_EQ|INE259A01022"
"KMEW","NSE_EQ|INE0CJD01011","BSE_EQ|INE0CJD01011"
"925SCL25Z","NSE_EQ|INE148I07PW1","BSE_EQ|INE148I07PW1"
"940SCL26","NSE_EQ|INE148I07PX9","BSE_EQ|INE148I07PX9"
"990SCL26","NSE_EQ|INE148I07PY7","BSE_EQ|INE148I07PY7"
"980SCL33C","NSE_EQ|INE148I07QD9","BSE_EQ|INE148I07QD9"
"687MH33","NSE_EQ|IN2220210024","BSE_EQ|IN2220210024"
"902SCL26","NSE_EQ|INE148I07QE7","BSE_EQ|INE148I07QE7"
"COALINDIA","NSE_EQ|INE522F01014","BSE_EQ|INE522F01014"
"888SCL25","NSE_EQ|INE148I07QF4","BSE_EQ|INE148I07QF4"
"688MH33","NSE_EQ|IN2220210040","BSE_EQ|IN2220210040"
"925SCL25A","NSE_EQ|INE148I07QG2","BSE_EQ|INE148I07QG2"
"GRSE","NSE_EQ|INE382Z01011","BSE_EQ|INE382Z01011"
"678MH31","NSE_EQ|IN2220210073","BSE_EQ|IN2220210073"
"NBCC","NSE_EQ|INE095N01031","BSE_EQ|INE095N01031"
"687MH33A","NSE_EQ|IN2220210065","BSE_EQ|IN2220210065"
"ONMOBILE","NSE_EQ|INE809I01019","BSE_EQ|INE809I01019"
"672PN30","NSE_EQ|IN2820200060","BSE_EQ|IN2820200060"
"SCLZC26C","NSE_EQ|INE148I07QB3","BSE_EQ|INE148I07QB3"
"BAJFINANCE","NSE_EQ|INE296A01024","BSE_EQ|INE296A01024"
"888SCL25D","NSE_EQ|INE148I07QC1","BSE_EQ|INE148I07QC1"
"683MH32A","NSE_EQ|IN2220210081","BSE_EQ|IN2220210081"
"POWERINDIA","NSE_EQ|INE07Y701011","BSE_EQ|INE07Y701011"
"965SCL28C","NSE_EQ|INE148I07PK6","BSE_EQ|INE148I07PK6"
"ICICIGI","NSE_EQ|INE765G01017","BSE_EQ|INE765G01017"
"925SCL28C","NSE_EQ|INE148I07PL4","BSE_EQ|INE148I07PL4"
"971SCL28C","NSE_EQ|INE148I07PM2","BSE_EQ|INE148I07PM2"
"903SFL28","NSE_EQ|INE721A07NU1","BSE_EQ|INE721A07NU1"
"SCL25B","NSE_EQ|INE148I07PF6","BSE_EQ|INE148I07PF6"
"HAL","NSE_EQ|INE066F01020","BSE_EQ|INE066F01020"
"BHEL","NSE_EQ|INE257A01026","BSE_EQ|INE257A01026"
"879SCL26","NSE_EQ|INE148I08231","BSE_EQ|INE148I08231"
"957SCL30","NSE_EQ|INE148I07PS9","BSE_EQ|INE148I07PS9"
"9SCL26B","NSE_EQ|INE148I08249","BSE_EQ|INE148I08249"
"TRANSRAILL","NSE_EQ|INE454P01035","BSE_EQ|INE454P01035"
"94SFL28","NSE_EQ|INE721A07NX5","BSE_EQ|INE721A07NX5"
"1075SCL33A","NSE_EQ|INE148I07PT7","BSE_EQ|INE148I07PT7"
"915SCL26","NSE_EQ|INE148I08256","BSE_EQ|INE148I08256"
"980SCL33A","NSE_EQ|INE148I07PU5","BSE_EQ|INE148I07PU5"
"1003SCL30","NSE_EQ|INE148I07PN0","BSE_EQ|INE148I07PN0"
"RELIANCE","NSE_EQ|INE002A01018","BSE_EQ|INE002A01018"
"SPLPETRO","NSE_EQ|INE663A01033","BSE_EQ|INE663A01033"
"10SCL30A","NSE_EQ|INE148I07PO8","BSE_EQ|INE148I07PO8"
"1025SCL33A","NSE_EQ|INE148I07PP5","BSE_EQ|INE148I07PP5"
"NKIND","NSE_EQ|INE542C01019","BSE_EQ|INE542C01019"
"ORIENTHOT","NSE_EQ|INE750A01020","BSE_EQ|INE750A01020"
"EDELWEISS","NSE_EQ|INE532F01054","BSE_EQ|INE532F01054"
"DDEVPLSTIK","NSE_EQ|INE0HR601026","BSE_EQ|INE0HR601026"
"925SCL25G","NSE_EQ|INE148I07RA3","BSE_EQ|INE148I07RA3"
"1003SCL30A","NSE_EQ|INE148I07QX7","BSE_EQ|INE148I07QX7"
"DLINKINDIA","NSE_EQ|INE250K01012","BSE_EQ|INE250K01012"
"1075SCL33B","NSE_EQ|INE148I07QY5","BSE_EQ|INE148I07QY5"
"980SCL33","NSE_EQ|INE148I07QZ2","BSE_EQ|INE148I07QZ2"
"NESCO","NSE_EQ|INE317F01035","BSE_EQ|INE317F01035"
"NELCAST","NSE_EQ|INE189I01024","BSE_EQ|INE189I01024"
"SCLZC25E","NSE_EQ|INE148I07RF2","BSE_EQ|INE148I07RF2"
"PRAENG","NSE_EQ|INE505C01016","BSE_EQ|INE505C01016"
"DBL","NSE_EQ|INE917M01012","BSE_EQ|INE917M01012"
"769KA33A","NSE_EQ|IN1920230092","BSE_EQ|IN1920230092"
"940SCL26B","NSE_EQ|INE148I07RG0","BSE_EQ|INE148I07RG0"
"649MH31","NSE_EQ|IN2220200132","BSE_EQ|IN2220200132"
"925SCL25B","NSE_EQ|INE148I07RI6","BSE_EQ|INE148I07RI6"
"BAYERCROP","NSE_EQ|INE462A01022","BSE_EQ|INE462A01022"
"RAINBOW","NSE_EQ|INE961O01016","BSE_EQ|INE961O01016"
"667MH31","NSE_EQ|IN2220200157","BSE_EQ|IN2220200157"
"77KA33","NSE_EQ|IN1920230068","BSE_EQ|IN1920230068"
"965SCL25F","NSE_EQ|INE148I07RB1","BSE_EQ|INE148I07RB1"
"SOTL","NSE_EQ|INE035D01020","BSE_EQ|INE035D01020"
"925SCL25H","NSE_EQ|INE148I07RC9","BSE_EQ|INE148I07RC9"
"965SCL25B","NSE_EQ|INE148I07RD7","BSE_EQ|INE148I07RD7"
"888SCL25B","NSE_EQ|INE148I07RE5","BSE_EQ|INE148I07RE5"
"SCLZC25D","NSE_EQ|INE148I07QL2","BSE_EQ|INE148I07QL2"
"902SCL26A","NSE_EQ|INE148I07QM0","BSE_EQ|INE148I07QM0"
"IGL","NSE_EQ|INE203G01027","BSE_EQ|INE203G01027"
"965SCL25A","NSE_EQ|INE148I07QN8","BSE_EQ|INE148I07QN8"
"SCLZC26E","NSE_EQ|INE148I07QO6","BSE_EQ|INE148I07QO6"
"CENTENKA","NSE_EQ|INE485A01015","BSE_EQ|INE485A01015"
"940SCL26A","NSE_EQ|INE148I07QH0","BSE_EQ|INE148I07QH0"
"STYRENIX","NSE_EQ|INE189B01011","BSE_EQ|INE189B01011"
"KHADIM","NSE_EQ|INE834I01025","BSE_EQ|INE834I01025"
"990SCL26A","NSE_EQ|INE148I07QI8","BSE_EQ|INE148I07QI8"
"ESABINDIA","NSE_EQ|INE284A01012","BSE_EQ|INE284A01012"
"SCLZC25C","NSE_EQ|INE148I07QJ6","BSE_EQ|INE148I07QJ6"
"948SCL26A","NSE_EQ|INE148I07QK4","BSE_EQ|INE148I07QK4"
"971SCL28A","NSE_EQ|INE148I07QT5","BSE_EQ|INE148I07QT5"
"1050SCL30","NSE_EQ|INE148I07QV1","BSE_EQ|INE148I07QV1"
"SCLZC26D","NSE_EQ|INE148I07QP3","BSE_EQ|INE148I07QP3"
"889SCL28","NSE_EQ|INE148I08322","BSE_EQ|INE148I08322"
"965SCL28A","NSE_EQ|INE148I07QQ1","BSE_EQ|INE148I07QQ1"
"NEWGEN","NSE_EQ|INE619B01017","BSE_EQ|INE619B01017"
"SCI","NSE_EQ|INE109A01011","BSE_EQ|INE109A01011"
"1015SCL28","NSE_EQ|INE148I07QR9","BSE_EQ|INE148I07QR9"
"935SCL28","NSE_EQ|INE148I08330","BSE_EQ|INE148I08330"
"850SCL25A","NSE_EQ|INE148I08348","BSE_EQ|INE148I08348"
"925SCL28A","NSE_EQ|INE148I07QS7","BSE_EQ|INE148I07QS7"
"A2ZINFRA","NSE_EQ|INE619I01012","BSE_EQ|INE619I01012"
"HAPPYFORGE","NSE_EQ|INE330T01021","BSE_EQ|INE330T01021"
"ANKITMETAL","NSE_EQ|INE106I01010","BSE_EQ|INE106I01010"
"AARVEEDEN","NSE_EQ|INE273D01019","BSE_EQ|INE273D01019"
"CONFIPET","NSE_EQ|INE552D01024","BSE_EQ|INE552D01024"
"AARTECH","NSE_EQ|INE01C001026","BSE_EQ|INE01C001026"
"925SCL26A","NSE_EQ|INE148I07SA1","BSE_EQ|INE148I07SA1"
"736IOCL29","NSE_EQ|INE242A08551","BSE_EQ|INE242A08551"
"RALLIS","NSE_EQ|INE613A01020","BSE_EQ|INE613A01020"
"888SCL26","NSE_EQ|INE148I07SB9","BSE_EQ|INE148I07SB9"
"925SCL26B","NSE_EQ|INE148I07SC7","BSE_EQ|INE148I07SC7"
"725IOCL30","NSE_EQ|INE242A08569","BSE_EQ|INE242A08569"
"SHREYANIND","NSE_EQ|INE231C01019","BSE_EQ|INE231C01019"
"ROHLTD","NSE_EQ|INE283H01019","BSE_EQ|INE283H01019"
"940SCL27","NSE_EQ|INE148I07SH6","BSE_EQ|INE148I07SH6"
"DAMCAPITAL","NSE_EQ|INE284H01025","BSE_EQ|INE284H01025"
"948SCL27","NSE_EQ|INE148I07SI4","BSE_EQ|INE148I07SI4"
"SGBDEC25","NSE_EQ|IN0020170125","BSE_EQ|IN0020170125"
"SGBNOV25IX","NSE_EQ|IN0020170117","BSE_EQ|IN0020170117"
"902SCL27","NSE_EQ|INE148I07SJ2","BSE_EQ|INE148I07SJ2"
"783MH30","NSE_EQ|IN2220200017","BSE_EQ|IN2220200017"
"0SCL27","NSE_EQ|INE148I07SK0","BSE_EQ|INE148I07SK0"
"SGBNOV258","NSE_EQ|IN0020170109","BSE_EQ|IN0020170109"
"654MH30","NSE_EQ|IN2220200033","BSE_EQ|IN2220200033"
"965SCL26","NSE_EQ|INE148I07SD5","BSE_EQ|INE148I07SD5"
"76MH30","NSE_EQ|IN2220200025","BSE_EQ|IN2220200025"
"657MH31","NSE_EQ|IN2220200058","BSE_EQ|IN2220200058"
"774KA34","NSE_EQ|IN1920230167","BSE_EQ|IN1920230167"
"0SCL26","NSE_EQ|INE148I07SF0","BSE_EQ|INE148I07SF0"
"990SCL27","NSE_EQ|INE148I07SG8","BSE_EQ|INE148I07SG8"
"990SCL26B","NSE_EQ|INE148I07RN6","BSE_EQ|INE148I07RN6"
"971SCL28B","NSE_EQ|INE148I07RO4","BSE_EQ|INE148I07RO4"
"717GS2028","NSE_EQ|IN0020170174","BSE_EQ|IN0020170174"
"980SCL33D","NSE_EQ|INE148I07RP1","BSE_EQ|INE148I07RP1"
"AYMSYNTEX","NSE_EQ|INE193B01039","BSE_EQ|INE193B01039"
"FINPIPE","NSE_EQ|INE183A01024","BSE_EQ|INE183A01024"
"SGBDEC2512","NSE_EQ|IN0020170141","BSE_EQ|IN0020170141"
"948SCL26B","NSE_EQ|INE148I07RJ4","BSE_EQ|INE148I07RJ4"
"SGBDEC25XI","NSE_EQ|IN0020170133","BSE_EQ|IN0020170133"
"SCLZC25F","NSE_EQ|INE148I07RK2","BSE_EQ|INE148I07RK2"
"SCLZC26G","NSE_EQ|INE148I07RL0","BSE_EQ|INE148I07RL0"
"SGBJAN26","NSE_EQ|IN0020170166","BSE_EQ|IN0020170166"
"SENORES","NSE_EQ|INE0RB801010","BSE_EQ|INE0RB801010"
"SGBDEC2513","NSE_EQ|IN0020170158","BSE_EQ|IN0020170158"
"965SCL28B","NSE_EQ|INE148I07RM8","BSE_EQ|INE148I07RM8"
"1025SCL33","NSE_EQ|INE148I07RV9","BSE_EQ|INE148I07RV9"
"9TCAP28","NSE_EQ|INE306N08284","BSE_EQ|INE306N08284"
"910TCAP28","NSE_EQ|INE306N08292","BSE_EQ|INE306N08292"
"1075SCL33","NSE_EQ|INE148I07RW7","BSE_EQ|INE148I07RW7"
"980SCL33B","NSE_EQ|INE148I07RX5","BSE_EQ|INE148I07RX5"
"SCLZC26F","NSE_EQ|INE148I07RY3","BSE_EQ|INE148I07RY3"
"835SCL23B","NSE_EQ|INE148I07RZ0","BSE_EQ|INE148I07RZ0"
"835SCL23A","NSE_EQ|INE148I07RR7","BSE_EQ|INE148I07RR7"
"ATFL","NSE_EQ|INE209A01019","BSE_EQ|INE209A01019"
"GNFC","NSE_EQ|INE113A01013","BSE_EQ|INE113A01013"
"925SCL28B","NSE_EQ|INE148I07RS5","BSE_EQ|INE148I07RS5"
"MAMATA","NSE_EQ|INE0TO701015","BSE_EQ|INE0TO701015"
"GICHSGFIN","NSE_EQ|INE289B01019","BSE_EQ|INE289B01019"
"875SCL23A","NSE_EQ|INE148I07RU1","BSE_EQ|INE148I07RU1"
"SCL310524","NSE_EQ|INE148I07TA9","BSE_EQ|INE148I07TA9"
"SCFL310524","NSE_EQ|INE148I07TB7","BSE_EQ|INE148I07TB7"
"925SCL26D","NSE_EQ|INE148I07TC5","BSE_EQ|INE148I07TC5"
"TCS","NSE_EQ|INE467B01029","BSE_EQ|INE467B01029"
"MANALIPETC","NSE_EQ|INE201A01024","BSE_EQ|INE201A01024"
"888SCL26A","NSE_EQ|INE148I07TD3","BSE_EQ|INE148I07TD3"
"767KA42","NSE_EQ|IN1920230241","BSE_EQ|IN1920230241"
"DPWIRES","NSE_EQ|INE864X01013","BSE_EQ|INE864X01013"
"M&MFIN","NSE_EQ|INE774D01024","BSE_EQ|INE774D01024"
"965SCL26A","NSE_EQ|INE148I07TE1","BSE_EQ|INE148I07TE1"
"MODISONLTD","NSE_EQ|INE737D01021","BSE_EQ|INE737D01021"
"1050SCL31","NSE_EQ|INE148I07TK8","BSE_EQ|INE148I07TK8"
"708MH31","NSE_EQ|IN2220200348","BSE_EQ|IN2220200348"
"948SCL27A","NSE_EQ|INE148I07TL6","BSE_EQ|INE148I07TL6"
"SCL310524A","NSE_EQ|INE148I07TM4","BSE_EQ|INE148I07TM4"
"99SCL27","NSE_EQ|INE148I07TF8","BSE_EQ|INE148I07TF8"
"971SCL29A","NSE_EQ|INE148I07TG6","BSE_EQ|INE148I07TG6"
"746TS48","NSE_EQ|IN4520220166","BSE_EQ|IN4520220166"
"902SCL27A","NSE_EQ|INE148I07TH4","BSE_EQ|INE148I07TH4"
"756TS40","NSE_EQ|IN4520220182","BSE_EQ|IN4520220182"
"JKTYRE","NSE_EQ|INE573A01042","BSE_EQ|INE573A01042"
"94SCL27","NSE_EQ|INE148I07TI2","BSE_EQ|INE148I07TI2"
"965SCL29","NSE_EQ|INE148I07SP9","BSE_EQ|INE148I07SP9"
"1025SCL34","NSE_EQ|INE148I07SQ7","BSE_EQ|INE148I07SQ7"
"AIIL","NSE_EQ|INE206F01022","BSE_EQ|INE206F01022"
"ONELIFECAP","NSE_EQ|INE912L01015","BSE_EQ|INE912L01015"
"1075SCFL34","NSE_EQ|INE148I07SR5","BSE_EQ|INE148I07SR5"
"1015SCFL29","NSE_EQ|INE148I07SS3","BSE_EQ|INE148I07SS3"
"MMFL","NSE_EQ|INE227C01017","BSE_EQ|INE227C01017"
"1050SCFL31","NSE_EQ|INE148I07SM6","BSE_EQ|INE148I07SM6"
"971SCL29","NSE_EQ|INE148I07SN4","BSE_EQ|INE148I07SN4"
"925SCL29","NSE_EQ|INE148I07SO2","BSE_EQ|INE148I07SO2"
"1003SCFL31","NSE_EQ|INE148I07SX3","BSE_EQ|INE148I07SX3"
"975SCL27","NSE_EQ|INE148I07SY1","BSE_EQ|INE148I07SY1"
"RAJRATAN","NSE_EQ|INE451D01029","BSE_EQ|INE451D01029"
"925SCL26C","NSE_EQ|INE148I07SZ8","BSE_EQ|INE148I07SZ8"
"DGCONTENT","NSE_EQ|INE03JI01017","BSE_EQ|INE03JI01017"
"957SCL31","NSE_EQ|INE148I07ST1","BSE_EQ|INE148I07ST1"
"10SCL31","NSE_EQ|INE148I07SU9","BSE_EQ|INE148I07SU9"
"1025SCFL34","NSE_EQ|INE148I07SV7","BSE_EQ|INE148I07SV7"
"SINCLAIR","NSE_EQ|INE985A01022","BSE_EQ|INE985A01022"
"SVPGLOB","NSE_EQ|INE308E01029","BSE_EQ|INE308E01029"
"980SCL34","NSE_EQ|INE148I07SW5","BSE_EQ|INE148I07SW5"
"STALLION","NSE_EQ|INE0RYC01010","BSE_EQ|INE0RYC01010"
"ANSALAPI","NSE_EQ|INE436A01026","BSE_EQ|INE436A01026"
"902SCL27C","NSE_EQ|INE148I07UD1","BSE_EQ|INE148I07UD1"
"990SCL27B","NSE_EQ|INE148I07UE9","BSE_EQ|INE148I07UE9"
"940SCL27A","NSE_EQ|INE148I07UF6","BSE_EQ|INE148I07UF6"
