"tradingsymbol","instrument_key_nse","instrument_key_bse"
"HITECH","NSE_EQ|INE106T01025","BSE_EQ|INE106T01025"
"HITECHCORP","NSE_EQ|INE120D01012","BSE_EQ|INE120D01012"
"HITECHGEAR","NSE_EQ|INE127B01011","BSE_EQ|INE127B01011"
"HLEGLAS","NSE_EQ|INE461D01028","BSE_EQ|INE461D01028"
"HLVLTD","NSE_EQ|INE102A01024","BSE_EQ|INE102A01024"
"HMAAGRO","NSE_EQ|INE0ECP01024","BSE_EQ|INE0ECP01024"
"HMT","NSE_EQ|INE262A01018","BSE_EQ|INE262A01018"
"HMVL","NSE_EQ|INE871K01015","BSE_EQ|INE871K01015"
"HNDFDS","NSE_EQ|INE254N01026","BSE_EQ|INE254N01026"
"HNGSNGBEES","NSE_EQ|INF204KB19I1","BSE_EQ|INF204KB19I1"
"HOMEFIRST","NSE_EQ|INE481N01025","BSE_EQ|INE481N01025"
"HONASA","NSE_EQ|INE0J5401028","BSE_EQ|INE0J5401028"
"HONDAPOWER","NSE_EQ|INE634A01018","BSE_EQ|INE634A01018"
"HOVS","NSE_EQ|INE596H01014","BSE_EQ|INE596H01014"
"HPAL","NSE_EQ|INE0GSL01024","BSE_EQ|INE0GSL01024"
"HPIL","NSE_EQ|INE05X901010","BSE_EQ|INE05X901010"
"HPL","NSE_EQ|INE495S01016","BSE_EQ|INE495S01016"
"HSCL","NSE_EQ|INE019C01026","BSE_EQ|INE019C01026"
"HTMEDIA","NSE_EQ|INE501G01024","BSE_EQ|INE501G01024"
"HUBTOWN","NSE_EQ|INE703H01016","BSE_EQ|INE703H01016"
"HUDCO","NSE_EQ|INE031A01017","BSE_EQ|INE031A01017"
"HUHTAMAKI","NSE_EQ|INE275B01026","BSE_EQ|INE275B01026"
"HYBRIDFIN","NSE_EQ|INE965B01022","BSE_EQ|INE965B01022"
"HYUNDAI","NSE_EQ|INE0V6F01027","BSE_EQ|INE0V6F01027"
"ICDSLTD","NSE_EQ|INE613B01010","BSE_EQ|INE613B01010"
"ICICIB22","NSE_EQ|INF109KB15Y7","BSE_EQ|INF109KB15Y7"
"ICICIBANK","NSE_EQ|INE090A01021","BSE_EQ|INE090A01021"
"ICICIGI","NSE_EQ|INE765G01017","BSE_EQ|INE765G01017"
"ICICIPRULI","NSE_EQ|INE726G01019","BSE_EQ|INE726G01019"
"ICIL","NSE_EQ|INE483B01026","BSE_EQ|INE483B01026"
"ICRA","NSE_EQ|INE725G01011","BSE_EQ|INE725G01011"
"IDBI","NSE_EQ|INE008A01015","BSE_EQ|INE008A01015"
"IDEA","NSE_EQ|INE669E01016","BSE_EQ|INE669E01016"
"IDEAFORGE","NSE_EQ|INE349Y01013","BSE_EQ|INE349Y01013"
"IDFCFIRSTB","NSE_EQ|INE092T01019","BSE_EQ|INE092T01019"
"IEL","NSE_EQ|INE059901020","BSE_EQ|INE059901020"
"IEX","NSE_EQ|INE022Q01020","BSE_EQ|INE022Q01020"
"IFBAGRO","NSE_EQ|INE076C01018","BSE_EQ|INE076C01018"
"IFBIND","NSE_EQ|INE559A01017","BSE_EQ|INE559A01017"
"IFCI","NSE_EQ|INE039A01010","BSE_EQ|INE039A01010"
"IFGLEXPOR","NSE_EQ|INE133Y01011","BSE_EQ|INE133Y01011"
"IGARASHI","NSE_EQ|INE188B01013","BSE_EQ|INE188B01013"
"IGIL","NSE_EQ|INE0Q9301021","BSE_EQ|INE0Q9301021"
"IGL","NSE_EQ|INE203G01027","BSE_EQ|INE203G01027"
"IGPL","NSE_EQ|INE204A01010","BSE_EQ|INE204A01010"
"IHF261224","NSE_EQ|INE477L07BD8","BSE_EQ|INE477L07BD8"
"IHF261224A","NSE_EQ|INE477L07BF3","BSE_EQ|INE477L07BF3"
"IHFL261224","NSE_EQ|INE477L07BA4","BSE_EQ|INE477L07BA4"
"IIFL","NSE_EQ|INE530B01024","BSE_EQ|INE530B01024"
"IIFLCAPS","NSE_EQ|INE489L01022","BSE_EQ|INE489L01022"
"IITL","NSE_EQ|INE886A01014","BSE_EQ|INE886A01014"
"IKIO","NSE_EQ|INE0LOJ01019","BSE_EQ|INE0LOJ01019"
"IKS","NSE_EQ|INE115Q01022","BSE_EQ|INE115Q01022"
"IL&FSENGG","NSE_EQ|INE369I01014","BSE_EQ|INE369I01014"
"IL&FSTRANS","NSE_EQ|INE975G01012","BSE_EQ|INE975G01012"
"IMAGICAA","NSE_EQ|INE172N01012","BSE_EQ|INE172N01012"
"IMFA","NSE_EQ|INE919H01018","BSE_EQ|INE919H01018"
"IMPAL","NSE_EQ|INE547E01014","BSE_EQ|INE547E01014"
"IMPEXFERRO","NSE_EQ|INE691G01015","BSE_EQ|INE691G01015"
"INCREDIBLE","NSE_EQ|INE452L01012","BSE_EQ|INE452L01012"
"INDBANK","NSE_EQ|INE841B01017","BSE_EQ|INE841B01017"
"INDGN","NSE_EQ|INE065X01017","BSE_EQ|INE065X01017"
"INDHOTEL","NSE_EQ|INE053A01029","BSE_EQ|INE053A01029"
"INDIACEM","NSE_EQ|INE383A01012","BSE_EQ|INE383A01012"
"INDIAGLYCO","NSE_EQ|INE560A01015","BSE_EQ|INE560A01015"
"INDIAMART","NSE_EQ|INE933S01016","BSE_EQ|INE933S01016"
"INDIANB","NSE_EQ|INE562A01011","BSE_EQ|INE562A01011"
"INDIANCARD","NSE_EQ|INE061A01014","BSE_EQ|INE061A01014"
"INDIANHUME","NSE_EQ|INE323C01030","BSE_EQ|INE323C01030"
"INDIASHLTR","NSE_EQ|INE922K01024","BSE_EQ|INE922K01024"
"INDIGO","NSE_EQ|INE646L01027","BSE_EQ|INE646L01027"
"INDIGOPNTS","NSE_EQ|INE09VQ01012","BSE_EQ|INE09VQ01012"
"INDIGRID","NSE_EQ|INE219X23014","BSE_EQ|INE219X23014"
"INDNIPPON","NSE_EQ|INE092B01025","BSE_EQ|INE092B01025"
"INDOAMIN","NSE_EQ|INE760F01028","BSE_EQ|INE760F01028"
"INDOBORAX","NSE_EQ|INE803D01021","BSE_EQ|INE803D01021"
"INDOCO","NSE_EQ|INE873D01024","BSE_EQ|INE873D01024"
"INDOFARM","NSE_EQ|INE622H01018","BSE_EQ|INE622H01018"
"INDORAMA","NSE_EQ|INE156A01020","BSE_EQ|INE156A01020"
"INDOSTAR","NSE_EQ|INE896L01010","BSE_EQ|INE896L01010"
"INDOTECH","NSE_EQ|INE332H01014","BSE_EQ|INE332H01014"
"INDOUS","NSE_EQ|INE250Z01010","BSE_EQ|INE250Z01010"
"INDOWIND","NSE_EQ|INE227G01018","BSE_EQ|INE227G01018"
"INDRAMEDCO","NSE_EQ|INE681B01017","BSE_EQ|INE681B01017"
"INDSWFTLAB","NSE_EQ|INE915B01019","BSE_EQ|INE915B01019"
"INDSWFTLTD","NSE_EQ|INE788B01028","BSE_EQ|INE788B01028"
"INDTERRAIN","NSE_EQ|INE611L01021","BSE_EQ|INE611L01021"
"INDUSINDBK","NSE_EQ|INE095A01012","BSE_EQ|INE095A01012"
"INDUSINVIT","NSE_EQ|INE0NHL23019","BSE_EQ|INE0NHL23019"
"INDUSTOWER","NSE_EQ|INE121J01017","BSE_EQ|INE121J01017"
"INFIBEAM","NSE_EQ|INE483S01020","BSE_EQ|INE483S01020"
"INFOBEAN","NSE_EQ|INE344S01016","BSE_EQ|INE344S01016"
"INFOMEDIA","NSE_EQ|INE669A01022","BSE_EQ|INE669A01022"
"INFRABEES","NSE_EQ|INF732E01268","BSE_EQ|INF732E01268"
"INFRAIETF","NSE_EQ|INF109KC16E5","BSE_EQ|INF109KC16E5"
"INFY","NSE_EQ|INE009A01021","BSE_EQ|INE009A01021"
"INGERRAND","NSE_EQ|INE177A01018","BSE_EQ|INE177A01018"
"INNOVACAP","NSE_EQ|INE0DUT01020","BSE_EQ|INE0DUT01020"
"INNOVANA","NSE_EQ|INE403Y01018","BSE_EQ|INE403Y01018"
"INOXGREEN","NSE_EQ|INE510W01014","BSE_EQ|INE510W01014"
"INOXINDIA","NSE_EQ|INE616N01034","BSE_EQ|INE616N01034"
"INOXWIND","NSE_EQ|INE066P01011","BSE_EQ|INE066P01011"
"INSECTICID","NSE_EQ|INE070I01018","BSE_EQ|INE070I01018"
"INSPIRISYS","NSE_EQ|INE020G01017","BSE_EQ|INE020G01017"
"INTELLECT","NSE_EQ|INE306R01017","BSE_EQ|INE306R01017"
"INTENTECH","NSE_EQ|INE781A01025","BSE_EQ|INE781A01025"
"INTERARCH","NSE_EQ|INE00M901018","BSE_EQ|INE00M901018"
"INTERISE","NSE_EQ|INE790Z23019","BSE_EQ|INE790Z23019"
"INTLCONV","NSE_EQ|INE575C01027","BSE_EQ|INE575C01027"
"INVENTURE","NSE_EQ|INE878H01024","BSE_EQ|INE878H01024"
"IOB","NSE_EQ|INE565A01014","BSE_EQ|INE565A01014"
"IOC","NSE_EQ|INE242A01010","BSE_EQ|INE242A01010"
"IOLCP","NSE_EQ|INE485C01029","BSE_EQ|INE485C01029"
"IONEXCHANG","NSE_EQ|INE570A01022","BSE_EQ|INE570A01022"
"IPCALAB","NSE_EQ|INE571A01038","BSE_EQ|INE571A01038"
"IPL","NSE_EQ|INE0D6701023","BSE_EQ|INE0D6701023"
"IRB","NSE_EQ|INE821I01022","BSE_EQ|INE821I01022"
"IRBINVIT","NSE_EQ|INE183W23014","BSE_EQ|INE183W23014"
"IRCON","NSE_EQ|INE962Y01021","BSE_EQ|INE962Y01021"
"IRCTC","NSE_EQ|INE335Y01020","BSE_EQ|INE335Y01020"
"IREDA","NSE_EQ|INE202E01016","BSE_EQ|INE202E01016"
"IRFC","NSE_EQ|INE053F01010","BSE_EQ|INE053F01010"
"IRIS","NSE_EQ|INE864K01010","BSE_EQ|INE864K01010"
"IRMENERGY","NSE_EQ|INE07U701015","BSE_EQ|INE07U701015"
"ISEC","NSE_EQ|INE763G01038","BSE_EQ|INE763G01038"
"ISFT","NSE_EQ|INE566K01011","BSE_EQ|INE566K01011"
"ISGEC","NSE_EQ|INE858B01029","BSE_EQ|INE858B01029"
"ITC","NSE_EQ|INE154A01025","BSE_EQ|INE154A01025"
"ITCHOTELS","NSE_EQ|INE379A01028","BSE_EQ|INE379A01028"
"ITDC","NSE_EQ|INE353K01014","BSE_EQ|INE353K01014"
"ITDCEM","NSE_EQ|INE686A01026","BSE_EQ|INE686A01026"
"ITETF","NSE_EQ|INF769K01KV5","BSE_EQ|INF769K01KV5"
"ITETFADD","NSE_EQ|INF740KA1SX1","BSE_EQ|INF740KA1SX1"
"ITI","NSE_EQ|INE248A01017","BSE_EQ|INE248A01017"
"ITIETF","NSE_EQ|INF109KC16I6","BSE_EQ|INF109KC16I6"
"IVC","NSE_EQ|INE050B01023","BSE_EQ|INE050B01023"
"IVP","NSE_EQ|INE043C01018","BSE_EQ|INE043C01018"
"IVZINGOLD","NSE_EQ|INF205K01361","BSE_EQ|INF205K01361"
"IWEL","NSE_EQ|INE0FLR01028","BSE_EQ|INE0FLR01028"
"IXIGO","NSE_EQ|INE0HV901016","BSE_EQ|INE0HV901016"
"IZMO","NSE_EQ|INE848A01014","BSE_EQ|INE848A01014"
"J&KBANK","NSE_EQ|INE168A01041","BSE_EQ|INE168A01041"
"JAGRAN","NSE_EQ|INE199G01027","BSE_EQ|INE199G01027"
"JAGSNPHARM","NSE_EQ|INE048B01035","BSE_EQ|INE048B01035"
"JAIBALAJI","NSE_EQ|INE091G01026","BSE_EQ|INE091G01026"
"JAICORPLTD","NSE_EQ|INE070D01027","BSE_EQ|INE070D01027"
"JAMNAAUTO","NSE_EQ|INE039C01032","BSE_EQ|INE039C01032"
"JAYAGROGN","NSE_EQ|INE785A01026","BSE_EQ|INE785A01026"
"JAYBARMARU","NSE_EQ|INE571B01036","BSE_EQ|INE571B01036"
"JAYNECOIND","NSE_EQ|INE854B01010","BSE_EQ|INE854B01010"
"JAYSREETEA","NSE_EQ|INE364A01020","BSE_EQ|INE364A01020"
"JBCHEPHARM","NSE_EQ|INE572A01036","BSE_EQ|INE572A01036"
"JBMA","NSE_EQ|INE927D01051","BSE_EQ|INE927D01051"
"JCHAC","NSE_EQ|INE782A01015","BSE_EQ|INE782A01015"
"JETFREIGHT","NSE_EQ|INE982V01025","BSE_EQ|INE982V01025"
"JGCHEM","NSE_EQ|INE0MB501011","BSE_EQ|INE0MB501011"
"JHS","NSE_EQ|INE544H01014","BSE_EQ|INE544H01014"
"JINDALPHOT","NSE_EQ|INE796G01012","BSE_EQ|INE796G01012"
"JINDALPOLY","NSE_EQ|INE197D01010","BSE_EQ|INE197D01010"
"JINDALSAW","NSE_EQ|INE324A01032","BSE_EQ|INE324A01032"
"JINDALSTEL","NSE_EQ|INE749A01030","BSE_EQ|INE749A01030"
"JINDRILL","NSE_EQ|INE742C01031","BSE_EQ|INE742C01031"
"JINDWORLD","NSE_EQ|INE247D01039","BSE_EQ|INE247D01039"
"JIOFIN","NSE_EQ|INE758E01017","BSE_EQ|INE758E01017"
"JISLDVREQS","NSE_EQ|IN9175A01010","BSE_EQ|IN9175A01010"
"JISLJALEQS","NSE_EQ|INE175A01038","BSE_EQ|INE175A01038"
"JITFINFRA","NSE_EQ|INE863T01013","BSE_EQ|INE863T01013"
"JKCEMENT","NSE_EQ|INE823G01014","BSE_EQ|INE823G01014"
"JKIL","NSE_EQ|INE576I01022","BSE_EQ|INE576I01022"
"JKLAKSHMI","NSE_EQ|INE786A01032","BSE_EQ|INE786A01032"
"JKPAPER","NSE_EQ|INE789E01012","BSE_EQ|INE789E01012"
"JKTYRE","NSE_EQ|INE573A01042","BSE_EQ|INE573A01042"
"JLHL","NSE_EQ|INE682M01012","BSE_EQ|INE682M01012"
"JMFINANCIL","NSE_EQ|INE780C01023","BSE_EQ|INE780C01023"
"JNKINDIA","NSE_EQ|INE0OAF01028","BSE_EQ|INE0OAF01028"
"JPASSOCIAT","NSE_EQ|INE455F01025","BSE_EQ|INE455F01025"
"JPOLYINVST","NSE_EQ|INE147P01019","BSE_EQ|INE147P01019"
"JPPOWER","NSE_EQ|INE351F01018","BSE_EQ|INE351F01018"
"JSFB","NSE_EQ|INE953L01027","BSE_EQ|INE953L01027"
"JSL","NSE_EQ|INE220G01021","BSE_EQ|INE220G01021"
"JSWENERGY","NSE_EQ|INE121E01018","BSE_EQ|INE121E01018"
"JSWINFRA","NSE_EQ|INE880J01026","BSE_EQ|INE880J01026"
"JSWSTEEL","NSE_EQ|INE019A01038","BSE_EQ|INE019A01038"
"JTEKTINDIA","NSE_EQ|INE643A01035","BSE_EQ|INE643A01035"
"JTLIND","NSE_EQ|INE391J01032","BSE_EQ|INE391J01032"
"JUBLCPL","NSE_EQ|INE03CC01015","BSE_EQ|INE03CC01015"
"JUBLFOOD","NSE_EQ|INE797F01020","BSE_EQ|INE797F01020"
"JUBLINGREA","NSE_EQ|INE0BY001018","BSE_EQ|INE0BY001018"
"JUBLPHARMA","NSE_EQ|INE700A01033","BSE_EQ|INE700A01033"
"JUNIORBEES","NSE_EQ|INF732E01045","BSE_EQ|INF732E01045"
"JUNIPER","NSE_EQ|INE696F01016","BSE_EQ|INE696F01016"
"JUSTDIAL","NSE_EQ|INE599M01018","BSE_EQ|INE599M01018"
"JWL","NSE_EQ|INE209L01016","BSE_EQ|INE209L01016"
"JYOTHYLAB","NSE_EQ|INE668F01031","BSE_EQ|INE668F01031"
"JYOTICNC","NSE_EQ|INE980O01024","BSE_EQ|INE980O01024"
"JYOTISTRUC","NSE_EQ|INE197A01024","BSE_EQ|INE197A01024"
"KABRAEXTRU","NSE_EQ|INE900B01029","BSE_EQ|INE900B01029"
"KAJARIACER","NSE_EQ|INE217B01036","BSE_EQ|INE217B01036"
"KAKATCEM","NSE_EQ|INE437B01014","BSE_EQ|INE437B01014"
"KALAMANDIR","NSE_EQ|INE438K01021","BSE_EQ|INE438K01021"
"KALYANKJIL","NSE_EQ|INE303R01014","BSE_EQ|INE303R01014"
"KAMATHOTEL","NSE_EQ|INE967C01018","BSE_EQ|INE967C01018"
"KAMDHENU","NSE_EQ|INE390H01020","BSE_EQ|INE390H01020"
"KAMOPAINTS","NSE_EQ|INE0BTI01037","BSE_EQ|INE0BTI01037"
"KANANIIND","NSE_EQ|INE879E01037","BSE_EQ|INE879E01037"
"KANORICHEM","NSE_EQ|INE138C01024","BSE_EQ|INE138C01024"
"KANPRPLA","NSE_EQ|INE694E01014","BSE_EQ|INE694E01014"
"KANSAINER","NSE_EQ|INE531A01024","BSE_EQ|INE531A01024"
"KARMAENG","NSE_EQ|INE725L01011","BSE_EQ|INE725L01011"
"KARURVYSYA","NSE_EQ|INE036D01028","BSE_EQ|INE036D01028"
"KAUSHALYA","NSE_EQ|INE234I01028","BSE_EQ|INE234I01028"
"KAVVERITEL","NSE_EQ|INE641C01019","BSE_EQ|INE641C01019"
"KAYA","NSE_EQ|INE587G01015","BSE_EQ|INE587G01015"
"KAYNES","NSE_EQ|INE918Z01012","BSE_EQ|INE918Z01012"
"KBCGLOBAL","NSE_EQ|INE278R01034","BSE_EQ|INE278R01034"
"KCP","NSE_EQ|INE805C01028","BSE_EQ|INE805C01028"
"KCPSUGIND","NSE_EQ|INE790B01024","BSE_EQ|INE790B01024"
"KDDL","NSE_EQ|INE291D01011","BSE_EQ|INE291D01011"
"KEC","NSE_EQ|INE389H01022","BSE_EQ|INE389H01022"
"KECL","NSE_EQ|INE134B01017","BSE_EQ|INE134B01017"
"KEEPLEARN","NSE_EQ|INE055C01020","BSE_EQ|INE055C01020"
"KEI","NSE_EQ|INE878B01027","BSE_EQ|INE878B01027"
"KELLTONTEC","NSE_EQ|INE164B01022","BSE_EQ|INE164B01022"
"KERNEX","NSE_EQ|INE202H01019","BSE_EQ|INE202H01019"
"KESORAMIND","NSE_EQ|INE087A01019","BSE_EQ|INE087A01019"
"KEYFINSERV","NSE_EQ|INE681C01015","BSE_EQ|INE681C01015"
"KFINTECH","NSE_EQ|INE138Y01010","BSE_EQ|INE138Y01010"
"KHADIM","NSE_EQ|INE834I01025","BSE_EQ|INE834I01025"
"KHAICHEM","NSE_EQ|INE745B01028","BSE_EQ|INE745B01028"
"KHAITANLTD","NSE_EQ|INE731C01018","BSE_EQ|INE731C01018"
"KHANDSE","NSE_EQ|INE060B01014","BSE_EQ|INE060B01014"
"KICL","NSE_EQ|INE029L01018","BSE_EQ|INE029L01018"
"KILITCH","NSE_EQ|INE729D01010","BSE_EQ|INE729D01010"
"KIMS","NSE_EQ|INE967H01025","BSE_EQ|INE967H01025"
"KINGFA","NSE_EQ|INE473D01015","BSE_EQ|INE473D01015"
"KIOCL","NSE_EQ|INE880L01014","BSE_EQ|INE880L01014"
"KIRIINDUS","NSE_EQ|INE415I01015","BSE_EQ|INE415I01015"
"KIRLOSBROS","NSE_EQ|INE732A01036","BSE_EQ|INE732A01036"
"KIRLOSENG","NSE_EQ|INE146L01010","BSE_EQ|INE146L01010"
"KIRLOSIND","NSE_EQ|INE250A01039","BSE_EQ|INE250A01039"
"KIRLPNU","NSE_EQ|INE811A01020","BSE_EQ|INE811A01020"
"KITEX","NSE_EQ|INE602G01020","BSE_EQ|INE602G01020"
"KKCL","NSE_EQ|INE401H01017","BSE_EQ|INE401H01017"
"KMEW","NSE_EQ|INE0CJD01011","BSE_EQ|INE0CJD01011"
"KMSUGAR","NSE_EQ|INE157H01023","BSE_EQ|INE157H01023"
"KNRCON","NSE_EQ|INE634I01029","BSE_EQ|INE634I01029"
"KOHINOOR","NSE_EQ|INE080B01012","BSE_EQ|INE080B01012"
"KOKUYOCMLN","NSE_EQ|INE760A01029","BSE_EQ|INE760A01029"
"KOLTEPATIL","NSE_EQ|INE094I01018","BSE_EQ|INE094I01018"
"KOPRAN","NSE_EQ|INE082A01010","BSE_EQ|INE082A01010"
"KOTAKBANK","NSE_EQ|INE237A01028","BSE_EQ|INE237A01028"
"KOTHARIPRO","NSE_EQ|INE823A01017","BSE_EQ|INE823A01017"
"KPEL","NSE_EQ|INE127T01021","BSE_EQ|INE127T01021"
"KPIGREEN","NSE_EQ|INE542W01025","BSE_EQ|INE542W01025"
"KPIL","NSE_EQ|INE220B01022","BSE_EQ|INE220B01022"
"KPITTECH","NSE_EQ|INE04I401011","BSE_EQ|INE04I401011"
"KPRMILL","NSE_EQ|INE930H01031","BSE_EQ|INE930H01031"
"KRBL","NSE_EQ|INE001B01026","BSE_EQ|INE001B01026"
"KREBSBIO","NSE_EQ|INE268B01013","BSE_EQ|INE268B01013"
"KRIDHANINF","NSE_EQ|INE524L01026","BSE_EQ|INE524L01026"
"KRITI","NSE_EQ|INE479D01038","BSE_EQ|INE479D01038"
"KRITINUT","NSE_EQ|INE798K01010","BSE_EQ|INE798K01010"
"KRN","NSE_EQ|INE0Q3J01015","BSE_EQ|INE0Q3J01015"
"KRONOX","NSE_EQ|INE0ATZ01017","BSE_EQ|INE0ATZ01017"
"KROSS","NSE_EQ|INE0O6601022","BSE_EQ|INE0O6601022"
"KRSNAA","NSE_EQ|INE08LI01020","BSE_EQ|INE08LI01020"
"KRYSTAL","NSE_EQ|INE0QN801017","BSE_EQ|INE0QN801017"
"KSB","NSE_EQ|INE999A01023","BSE_EQ|INE999A01023"
"KSCL","NSE_EQ|INE455I01029","BSE_EQ|INE455I01029"
"KSL","NSE_EQ|INE907A01026","BSE_EQ|INE907A01026"
"KSOLVES","NSE_EQ|INE0D6I01023","BSE_EQ|INE0D6I01023"
"KTKBANK","NSE_EQ|INE614B01018","BSE_EQ|INE614B01018"
"KUANTUM","NSE_EQ|INE529I01021","BSE_EQ|INE529I01021"
"LAKPRE","NSE_EQ|INE651C01018","BSE_EQ|INE651C01018"
"LAL","NSE_EQ|INE740X01023","BSE_EQ|INE740X01023"
"LALPATHLAB","NSE_EQ|INE600L01024","BSE_EQ|INE600L01024"
"LAMBODHARA","NSE_EQ|INE112F01022","BSE_EQ|INE112F01022"
"LANCORHOL","NSE_EQ|INE572G01025","BSE_EQ|INE572G01025"
"LANDMARK","NSE_EQ|INE559R01029","BSE_EQ|INE559R01029"
"LAOPALA","NSE_EQ|INE059D01020","BSE_EQ|INE059D01020"
"LASA","NSE_EQ|INE670X01014","BSE_EQ|INE670X01014"
"LATENTVIEW","NSE_EQ|INE0I7C01011","BSE_EQ|INE0I7C01011"
"LAURUSLABS","NSE_EQ|INE947Q01028","BSE_EQ|INE947Q01028"
"LAXMIDENTL","NSE_EQ|INE0WO601020","BSE_EQ|INE0WO601020"
"LCCINFOTEC","NSE_EQ|INE938A01021","BSE_EQ|INE938A01021"
"LEMONTREE","NSE_EQ|INE970X01018","BSE_EQ|INE970X01018"
"LGBBROSLTD","NSE_EQ|INE337A01034","BSE_EQ|INE337A01034"
"LIBERTSHOE","NSE_EQ|INE557B01019","BSE_EQ|INE557B01019"
"LICHSGFIN","NSE_EQ|INE115A01026","BSE_EQ|INE115A01026"
"LICI","NSE_EQ|INE0J1Y01017","BSE_EQ|INE0J1Y01017"
"LICMFGOLD","NSE_EQ|INF397L01554","BSE_EQ|INF397L01554"
"LICNETFN50","NSE_EQ|INF767K01OS7","BSE_EQ|INF767K01OS7"
"LICNETFSEN","NSE_EQ|INF767K01OT5","BSE_EQ|INF767K01OT5"
"LICNFNHGP","NSE_EQ|INF767K01PC8","BSE_EQ|INF767K01PC8"
"LICNMID100","NSE_EQ|INF767K01RN1","BSE_EQ|INF767K01RN1"
"LIKHITHA","NSE_EQ|INE060901027","BSE_EQ|INE060901027"
"LINC","NSE_EQ|INE802B01027","BSE_EQ|INE802B01027"
"LINCOLN","NSE_EQ|INE405C01035","BSE_EQ|INE405C01035"
"LINDEINDIA","NSE_EQ|INE473A01011","BSE_EQ|INE473A01011"
"LLOYDSENGG","NSE_EQ|INE093R01011","BSE_EQ|INE093R01011"
"LLOYDSENT","NSE_EQ|INE080I01025","BSE_EQ|INE080I01025"
"LLOYDSME","NSE_EQ|INE281B01032","BSE_EQ|INE281B01032"
"LMW","NSE_EQ|INE269B01029","BSE_EQ|INE269B01029"
"LODHA","NSE_EQ|INE670K01029","BSE_EQ|INE670K01029"
"LOKESHMACH","NSE_EQ|INE397H01017","BSE_EQ|INE397H01017"
"LORDSCHLO","NSE_EQ|INE846D01012","BSE_EQ|INE846D01012"
"LOTUSEYE","NSE_EQ|INE947I01017","BSE_EQ|INE947I01017"
"LOVABLE","NSE_EQ|INE597L01014","BSE_EQ|INE597L01014"
"LOWVOL","NSE_EQ|INF769K01JU9","BSE_EQ|INF769K01JU9"
"LOWVOLIETF","NSE_EQ|INF109KC19U5","BSE_EQ|INF109KC19U5"
"LOYALTEX","NSE_EQ|INE970D01010","BSE_EQ|INE970D01010"
"LPDC","NSE_EQ|INE197J01017","BSE_EQ|INE197J01017"
"LT","NSE_EQ|INE018A01030","BSE_EQ|INE018A01030"
"LTF","NSE_EQ|INE498L01015","BSE_EQ|INE498L01015"
"LTFOODS","NSE_EQ|INE818H01020","BSE_EQ|INE818H01020"
"LTIM","NSE_EQ|INE214T01019","BSE_EQ|INE214T01019"
"LTTS","NSE_EQ|INE010V01017","BSE_EQ|INE010V01017"
"LUMAXIND","NSE_EQ|INE162B01018","BSE_EQ|INE162B01018"
"LUMAXTECH","NSE_EQ|INE872H01027","BSE_EQ|INE872H01027"
"LUPIN","NSE_EQ|INE326A01037","BSE_EQ|INE326A01037"
"LUXIND","NSE_EQ|INE150G01020","BSE_EQ|INE150G01020"
"LXCHEM","NSE_EQ|INE576O01020","BSE_EQ|INE576O01020"
"LYKALABS","NSE_EQ|INE933A01014","BSE_EQ|INE933A01014"
"LYPSAGEMS","NSE_EQ|INE142K01011","BSE_EQ|INE142K01011"
"M&M","NSE_EQ|INE101A01026","BSE_EQ|INE101A01026"
"M&MFIN","NSE_EQ|INE774D01024","BSE_EQ|INE774D01024"
"MAANALU","NSE_EQ|INE215I01027","BSE_EQ|INE215I01027"
"MADHAV","NSE_EQ|INE925C01016","BSE_EQ|INE925C01016"
"MADHUCON","NSE_EQ|INE378D01032","BSE_EQ|INE378D01032"
"MADRASFERT","NSE_EQ|INE414A01015","BSE_EQ|INE414A01015"
"MAFANG","NSE_EQ|INF769K01HF4","BSE_EQ|INF769K01HF4"
"MAGADSUGAR","NSE_EQ|INE347W01011","BSE_EQ|INE347W01011"
"MAGNUM","NSE_EQ|INE387I01016","BSE_EQ|INE387I01016"
"MAHABANK","NSE_EQ|INE457A01014","BSE_EQ|INE457A01014"
"MAHAPEXLTD","NSE_EQ|INE843B01013","BSE_EQ|INE843B01013"
"MAHASTEEL","NSE_EQ|INE451L01014","BSE_EQ|INE451L01014"
"MAHEPC","NSE_EQ|INE215D01010","BSE_EQ|INE215D01010"
"MAHKTECH","NSE_EQ|INF769K01HS7","BSE_EQ|INF769K01HS7"
"MAHLIFE","NSE_EQ|INE813A01018","BSE_EQ|INE813A01018"
"MAHLOG","NSE_EQ|INE766P01016","BSE_EQ|INE766P01016"
"MAHSEAMLES","NSE_EQ|INE271B01025","BSE_EQ|INE271B01025"
"MAITHANALL","NSE_EQ|INE683C01011","BSE_EQ|INE683C01011"
"MAKEINDIA","NSE_EQ|INF769K01IB1","BSE_EQ|INF769K01IB1"
"MALLCOM","NSE_EQ|INE389C01015","BSE_EQ|INE389C01015"
"MALUPAPER","NSE_EQ|INE383H01017","BSE_EQ|INE383H01017"
"MAMATA","NSE_EQ|INE0TO701015","BSE_EQ|INE0TO701015"
"MANAKALUCO","NSE_EQ|INE859Q01017","BSE_EQ|INE859Q01017"
"MANAKCOAT","NSE_EQ|INE830Q01018","BSE_EQ|INE830Q01018"
"MANAKSIA","NSE_EQ|INE015D01022","BSE_EQ|INE015D01022"
"MANAKSTEEL","NSE_EQ|INE824Q01011","BSE_EQ|INE824Q01011"
