"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE456N01019","534691","COMCL","COMFORT COMMOTRADE LTD.","33.35","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN000542C018","800735","GS06MAY42","GS06MAY42","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE468N08043","975500","EELGSEC27","EEL-GSEC-12-3-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE639C01013","530111","RAJPACK","RAJ PACKAGING INDUSTRIES LTD.","28.89","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08276","976452","740IREDA36","IREDA-7.40%-27-2-36-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08268","976342","728IREDA35","IREDAL-7.28%-21-1-35-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE721U01011","505520","ZHEMHOLD","HEM HOLDINGS & TRADING LTD.","13.83","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE884Q07632","973904","1177MML27","MML-11.77%-31-3-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE1OUU15015","976459","12LVAF27","LVAF-12%-18-8-27-PTC","0.0","","","0.01","10.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE278G01037","532640","CYBERMEDIA","CYBER MEDIA (INDIA) LTD.","16.24","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE766P01016","540768","MAHLOG","Mahindra Logistics Limited","261.9","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE706F01021","511447","SYLPH","SYLPH TECHNOLOGIES LTD.","0.78","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE427F01016","542399","CHALET","Chalet Hotels Limited","786.1","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE018E01016","543066","SBICARD","SBI CARDS AND PAYMENT SERVICES","843.4","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE384D01022","516096","SANPA","SANGAL PAPERS LTD.","0.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE400N01017","530797","SHGANEL","SHREE GANESH ELASTOPLAST LTD.","21.1","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE608A01012","533295","PSB","PUNJAB & SIND BANK","40.15","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE031A07AQ0","935668","704HUDCO26","HUDCO-7.04%-15-3-26-TAXFREENCD","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0OWP15021","974615","11NPL26","NPL-11%-17-7-26-PTC","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE769D01016","512624","REGENTRP","Regent Enterprises Limited","6.49","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE031A07AO5","935642","764HUDCO31","HUDCO-7.64%-8-2-31-TAXFREENCD","1101.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE977M01024","537839","PHOENIXTN","PHOENIX TOWNSHIP LTD","218.3","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE031A07AN7","935640","727HUDCO26","HUDCO-7.27%-8-2-26-TAXFREENCD","1010.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08201","975715","75IREDA34","IREDA-7.5%-5-6-34-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE204D01022","524038","VENLONENT","VENLON ENTERPRISES LTD.","6.11","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE299W01022","541735","VIVANTA","Vivanta Industries Limited","2.95","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE01ZK07KC5","975306","1050HFL27B","HFLTD-10.50%-5-10-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE911B01018","501242","TCIFINANCE","TCI FINANCE LTD.","13.4","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE031A07AT4","935674","769HUDCO31","HUDCO-7.69%-15-3-31-TAXFREENCD","1105.3","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE01ZK07KE1","975308","10HFL25","HFL-10%-5-4-25-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE737H01014","532768","FIEMIND","FIEM INDUSTRIES LTD.","1373.6","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN001169C019","800791","GS06NOV69","GS06NOV69","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE031A07AS6","935672","729HUDCO26","HUDCO-7.29%-15-3-26-TAXFREENCD","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08219","975764","744IRED34","IREDA-7.44%-25-8-34-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE666Q01016","540204","EIKO","EIKO LIFESCIENCES LIMITED","52.78","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE896L08056","975131","1025ICFL25","ICFL-10.25%-3-4-25-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE01ZK07KD3","975307","1025HF26","HFLTD-10.25%-5-7-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE074B01023","530555","PARACABLES","PARAMOUNT COMMUNICATIONS LTD.","54.01","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE031A07AR8","935670","739HUDCO31","HUDCO-7.39%-15-3-31-TAXFREENCD","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08227","975847","739IREDA39","IREDAL-7.39%-22-7-39-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08304","974862","723IRFC26","IRFC-7.23%-15-10-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE01ZK07KP7","976095","1025HFL27","HFL-10.25%-11-2-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08312","974939","741IRFC26","IRFC-7.41%-15-10-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE402H01015","526981","SHBAJRG","SHRI BAJRANG ALLIANCE LIMITED","150.75","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE01ZK07KO0","976096","1050HFL30","HFL-10.50%-11-4-30-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0G0V01018","543269","ADJIA","Adjia Technologies Limited","0.0","","","0.01","1600.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08320","974940","745IRFC28","IRFC-7.45%-13-10-28-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08567","955992","1108HDFC27","HDFCB-11.08%-27-03-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08338","975214","768IRFC26","IRFC-7.68%-24-11-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08559","974971","896HDFCB25","HDFCBL-8.96%-9-4-25-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE401H01017","532732","KKCL","KEWAL KIRAN CLOTHING LTD.","466.1","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE314N01028","503639","INDSOYA","INDSOYA LTD.","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN1520230286","810993","742GJ33","742GUJSDL33","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE514Q07270","973996","118647PF25","PFSPL-11.8647%-10-6-25-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RM2","728821","JBCIP21225","JBCIPL-23-5-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE126A14EJ1","728508","EIDP201224","EIDPL-20-3-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE834M01019","534597","RTNINDIA","RATTANINDIA ENTERPRISES LIMITE","41.58","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE197P07318","974981","908AKCFL26","AKCFL-9.08%-17-7-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE931S08031","976172","865AESL34","AESL-8.65%-13-11-34-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RL4","728820","JBCIP24225","JBCIPL-26-5-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08155","973586","695IRFC36","IRFC-6.95%-24-11-36-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE06LG01010","542654","VRFILMS","V R FILMS & STUDIOS LIMITED","20.87","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE197P07326","975607","935AKCFL27","AKCFL-9.35%-24-4-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN2020210224","810836","74KL37","740KERSDL37","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08163","973664","687IRFC32","IRFC-6.87%-14-4-32-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE224A01026","501455","GREAVESCOT","GREAVES COTTON LTD.","221.25","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RK6","728773","JBCIP14225","JBCIPL-16-5-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE197P07342","975868","935AKCFL25","AKCFL-9.35%-1-11-25-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE609A01010","500346","PUNJCOMMU","PUNJAB COMMUNICATIONS LTD.","46.63","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RJ8","728729","JBCP060225","JBCPL-8-5-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08435","974431","784HDFC32","HDFC-7.84%-16-12-2032-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08106","973321","689IRFC31","IRFC-6.89%-19-7-31-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE736H01024","513059","GSAUTO","G.S.AUTO INTERNATIONAL LTD.","36.15","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08427","974406","786HDFC32","HDFCBL-7.86%-02-12-32-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE197P07359","976069","940AKCFL27","AKCFL-9.40%-3-10-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE215I01027","532906","MAANALU","MAAN ALUMINIUM LTD.","94.99","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE503A01015","532772","DCBBANK","DCB BANK LIMITED","109.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08114","973350","703IRFC36","IRFC-7.03%-30-7-36-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08419","974160","784HDFCB27","HDFCBL-7.84%-8-9-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE197P07367","976120","929AKCF26","AKCFL-9.29%-RESET RATE- 23-10-","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08122","973412","692IRFC31","IRFC-6.92%-31-08-31-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE197P07375","976283","94AKCFL27","AKCFL-9.4%-30-12-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE266B01017","500240","KINETICENG","KINETIC ENGINEERING LTD.","186.15","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RN0","728822","JBCI21225","JBCIPL-21-8-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE197P07383","976324","94AKCF28","AKCFL-9.4%-14-1-28-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08401","973489","644HDFC28","HDFC-6.44%-27-9-28-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE931S08023","975953","87AESL34","AESL-8.7%-28-8-34-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0UOS01011","544250","SANOFICONR","Sanofi Consumer Healthcare Ind","4881.35","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RE9","728604","JBCI17125A","JBCIPL-16-1-26-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0N1L01018","543637","PACE","PACE E-COMMERCE VENTURES LIMIT","25.85","","","0.01","1200.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE327G01032","540728","SAYAJIIND","Sayaji Industries Limited","0.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08128","975024","763IREDA33","IREDA-7.63%-11-8-33-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RD1","728595","JBCP150125","JBCPL-16-7-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE385W01011","540701","DCAL","Dishman Carbogen Amcis Limited","210.35","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08144","975265","768IREDA33","IREDAL-7.68%-22-12-33-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE098F01031","590006","AMRUTANJAN","AMRUTANJAN HEALTH CARE LTD.","594.2","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE415A01038","500187","AGI","AGI GREENPAC LIMITED","681.2","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0KCM01010","543475","EKENNIS","Ekennis Software Service Limit","69.25","","","0.01","800.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08136","975153","775IREDA33","IREDA-7.75%-12-10-33-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RC3","728593","JBCPL14125","JBCIPL-14-1-26-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08151","975312","777IREDA27","IREDA-7.77%-10-5-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE011D01013","526117","SHERVANI","SHERVANI INDUSTRIAL SYNDICATE","366.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RB5","728567","JBCP080125","JBCPL-7-7-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RI0","728640","JBC230125","JBC-24-4-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08197","974298","769IRFC32","IRFC-7.69%-11-10-32-PBVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08177","975464","753IRED34","IREDA-7.53%-10-5-34-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE861H01020","508875","NITINCAST","Nitin Castings Limited","629.5","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08169","975417","759IREDA34","IREDA-7.59%-23-2-34-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RH2","728628","JBCIP22125","JBCIPL-22-1-26-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08185","975507","757IREDL29","IREDAL-7.57%-18-5-29-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0BS701011","544238","PREMIERENE","Premier Energies Limited","897.4","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RG4","728603","JBCIP17125","JBCIPL-30-12-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08193","975540","759IRDA34","IRDA-7.59%-26-7-34-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0JPD01013","544314","SANATHAN","Sanathan Textiles Limited","322.2","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RF6","728607","JBCI17125B","JBCIPL-23-12-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE662D01013","526431","WELTI","WELTERMAN INTERNATIONAL LTD.","23.18","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE497B01018","526807","SEAMECLTD","SEAMEC LTD.","939.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE122N01017","511060","JUMBFNL","JUMBO FINANCE LTD.","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14QZ6","728525","JBCP241224","JBCPL-25-3-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE010J01012","540595","TEJASNET","Tejas Networks Limited","699.55","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14QY9","728478","JBCI191224","JBCIPL-20-3-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN000354C026","800550","GS19MAR2054","GS19MAR2054","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0KZX08021","974042","10IPL37","IPL-10%-31-7-37-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14RA7","728544","JBCP020125","JBCP-2-7-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE03DD01011","544197","RETAIL","JHS SVENDGAARD RETAIL VENTURES","38.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0OGZ15015","974528","STD301222","STD-22-1-28-PTC","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE056E01024","524614","INDXTRA","IEL LIMITED","5.78","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0OGZ15023","974529","STD301222A","STD-22-1-28-PTC","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08102","974411","779IREDA32","IREDA-7.79%-7-12-32-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE01ZK07JC7","975088","105HFL27","HFL-10.50%-18-6-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE514Q07304","975187","1330PFSP26","PFSPL-13.30%-8-11-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE274Y01021","544356","AJAXENGG","AJAX Engineering Limited","612.35","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE202E08110","974559","794IREDA33","IREDA-7.94%-27-1-33-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE01ZK07JB9","975087","1025HFL26","HFL-10.25%-18-3-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN000928C043","800500","GS19SEP2028","GS19SEP2028","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN0020079037","800267","795GOI2026","795GOI2026","0.0","","","0.05","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08468","953896","832HDFCB26","HDFCB-8.32%-04-05-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14QR3","728288","JBC251124","JBC-25-11-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE514Q07338","975517","14PFSPL26","PFSPL-14%-31-3-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08450","955251","772HDFCB26","HDFCB-7.72%-18-11-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08205","974390","764IRFC37","IRFC-7.64%-28-11-37-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE514Q07346","975642","14PFSPL26A","PFSPL-14%-30-4-26-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0AED08037","959045","739AIAH29A","AIAHL-7.39%-22-10-29-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE053F08213","974430","747IRFC33","IRFC-7.47-15-4-33-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE040A08443","974972","896HDFC25A","HDFCBL-8.96%-8-4-25-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE514Q07353","975672","12PFSP27","PFSPL-12%-24-5-27-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|IN0020080050","800159","683GS2039","638GOI2039","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE0AED08029","959031","739AIAH29","AIAHL-7.39%-12-10-29-PVT","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14QW3","728437","JBCP121224","JBCPL-13-3-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
"BSE_EQ|INE824H14QX1","728466","JBC181224","JBC-19-3-25-CP","0.0","","","0.01","1.0","EQUITY","","BSE_EQ"
